name	hash	compiles	blocker_category	blocker	equiv	equiv_detail
Darklang.SCM.PackageOps.tryDecodeOp	7fb4a07cb241036e4d7229790e34c354708c750a74f18de12cc7866931b35ba3	no	builtin routed, return type unmarshalable	unsupported-builtin: packageOpFromBlobOption: T.c5d23318efdf091d000c85b6fec0825d7c5166a39ec156877bb8f3cafe86bce0: T.ba279c227b51e5fee8ba5c11be7861827b8c6a4ae8f8430407fb743d2e57ffe7: T.51d1c6d465118e886efbf45f4a6abaa1282b52fc159df96cea2976cec73676ea: unmarshalable-return: TInt128		
Darklang.WIP.AI.OpenAI.Audio.Transport.get	7fc04263f2f27d711027487c48d7ad8dfcccb0454c9b24e0d68014a266e72206	no	unsupported-value	unsupported-value: package value did not bridge: value-dval: DBlob		
Darklang.Stdlib.Sqlite.mustExec	7fc34188a26fd208bd85885734f8f24b3ef3e5c7da3bd121a65ed9646ce2e28a	yes		76208 bytes	ierr	ierr|[Function (Package (Hash "7fc34188a26fd208bd85885734f8f24b3ef3e5c7da3bd121a65ed9646ce2e28a"))]
Darklang.Cli.Outliner.Editor.cursorToIndex	7fc35c5c67ebe5c36426f0507659845a76b3766153bab2baa7ef85d68d111077	no	compiler: type error	fn.4cbc81caadfb1da7c351beb8d9b7dc51c1f8d124417dc8cfa4322fc2962eb681's return value expects List<Int64>, but got List<t> (List<t>)		
Darklang.PrettyPrinter.ProgramTypes.applyArgNeedsParens	7fc87994705292c34d53a0912b4d2283c162ce81444a7d353916cafee9f14539	yes		3136 bytes	match	match
Darklang.Stdlib.Int64.clamp	7fd2dc977680c2e9551d6ae9a8091076518f01d1f8c718c0a62028ced31d3424	yes		1480 bytes	match	match
Darklang.PrettyPrinter.RuntimeTypes.RuntimeError.toErrorMessage	7fd47bcec6e8f46519bd2794157aabceea5512da9fce19297b6e82d142d477fa	no	unsupported-type	unsupported-type: Darklang.PrettyPrinter.RuntimeTypes.Dval: not in the type closure		
Darklang.WIP.AI.OpenAI.Images.withOutputCompression	7fe79dabd019f0626185d289a1fe6b253d4fb71fcc18bc0cc43f59849d3a989c	yes		1592 bytes	match	match
Darklang.Stdlib.Int64.remainder	7ff00934b084c021861be9aaefa4574fa515419d478f295ead8e3175e217fd0c	yes		45904 bytes	match	match
Darklang.Cli.AI.Agent.reviewTaskPrompt	7fff35ed7c586c6c1281f065db208db60ebf4e8fe23d5f43de44ccf2b2a1b2ad	yes		3520 bytes	match	match
Darklang.Cli.Http.Serve.printUsage	802b87cb9dee68d763409dd8d21be04101832e83fa7191d4d9faabcd7427d76e	yes		39408 bytes	match	match
Darklang.LanguageServerProtocol.Lifecycle.InitializeRequest.InitializeResult.toJson	8072818f03b9d40513e64debb9664fdcb180ffeb20cf9da8faa4732f3cc6bda6	yes		103720 bytes	ierr	ierr|[Function (Package (Hash "8072818f03b9d40513e64debb9664fdcb180ffeb20cf9da8faa4732f3cc6bda6")); Function (Package (Hash "2086d8128fb7d1353c24cdeee9b62c386c25b0be15b59ead159af3538b7f60ed"))]
Darklang.LanguageTools.LspServer.HoverInformation.collectEnumCaseHoverInfoAtPos	8081469bfbcff785549b7668423c9350a72aa52f5bf34ce234f30ffc97a8e2e9	no	builtin not routed	unsupported-builtin: int128ToString_v0		
Darklang.WIP.AI.OpenAI.Audio.Voices.withConsentId	80866ac03e3ea87be4a1efb062c1ae40b2205d37134fc94bbe215ad46a7ed12f	yes		1040 bytes	match	match
Darklang.WIP.AI.OpenAI.WebSearch.withFullLocation	809433dc902fe2042741bd2caa163df67f19d9801a52fd0ff573de9e28b2854e	yes		1184 bytes	match	match
Darklang.Stdlib.String.charAt	80a5397d70f355ba13dfb8521633f7b53395defc76f97ff671ae98efa8d9c83e	no	builtin not routed	unsupported-builtin: stringToList_v0		
Darklang.Stdlib.UInt128.mod	80a93a4326a88e72b14dae0ced8a837a07a5d468d3a9bcaf76fffebaf1a68498	no	builtin not routed	unsupported-builtin: uint128Mod_v0		
Darklang.SCM.Propagation.choiceFromRow	80c357e9bc6b0074584244d0247c2e4b8895f8cf37e08e22ae07c307764ef0f2	yes		9264 bytes	noargs	noargs|TDict (TString, TCustomType ({ originalName = ["Stdlib"; "Sqlite"; "Value"] resolved = Ok { name = Package (Hash "41c352765ba7273fab25c56327f91a554550dc3db8e1417a6fcf2e4da5e586e7") location = Some { owner = "Darklang" modules = ["Stdlib"; "Sqlite"] name = "Value" } } }, []))
Darklang.Stdlib.UInt16.bitwiseOr	80cc7fbd50fcd064f6f0fe317dfba566e227479bc0208d2902f36a9094cfdf79	yes		608 bytes	match	match
Darklang.SCM.PackageOps.supersededOverrides	80ee2cde13db39cf3d91b8b2708eb207ba82dabe81daccd3d55d49832a70798c	no	builtin not routed	unsupported-builtin: uuidParse_v0		
Darklang.Stdlib.Blob.slice	80f4d45bc7ea13386e60881fcb9f9e7084c724e271084a4ae082a4d97cb1f207	yes		103144 bytes	match	match
